date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:34:58	54930/54930	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:58%20GMT	https://www.w3schools.com/xml/xml_parser.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_parser.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:02	54976/54976	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:01%20GMT	https://www.w3schools.com/xml/xml_dom.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_dom.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:04	55161/55161	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:04%20GMT	https://www.w3schools.com/xml/xml_xpath.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_xpath.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:07	54395/54395	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:06%20GMT	https://www.w3schools.com/xml/xml_xslt.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_xslt.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:08	52679/52679	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:08%20GMT	https://www.w3schools.com/xml/xml_xquery.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_xquery.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:11	59851/59851	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:11%20GMT	https://www.w3schools.com/xml/xml_xlink.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_xlink.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:13	55164/55164	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:13%20GMT	https://www.w3schools.com/xml/xml_validator.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_validator.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:16	54566/54566	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:15%20GMT	https://www.w3schools.com/xml/xml_dtd.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_dtd.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:19	53964/53964	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:17%20GMT	https://www.w3schools.com/xml/xml_schema.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_schema.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:20	56105/56105	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:20%20GMT	https://www.w3schools.com/xml/xml_server.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_server.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:24	52421/52421	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:23%20GMT	https://www.w3schools.com/xml/xml_quiz.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_quiz.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:26	52082/52082	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:25%20GMT	https://www.w3schools.com/xml/xml_exam.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_exam.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:28	56041/56041	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:27%20GMT	https://www.w3schools.com/xml/ajax_xmlhttprequest_create.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/ajax_xmlhttprequest_create.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:30	57822/57822	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:29%20GMT	https://www.w3schools.com/xml/ajax_xmlhttprequest_send.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/ajax_xmlhttprequest_send.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:34	58415/58415	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:33%20GMT	https://www.w3schools.com/xml/ajax_xmlhttprequest_response.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/ajax_xmlhttprequest_response.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:37	54438/54438	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:37%20GMT	https://www.w3schools.com/xml/ajax_xmlfile.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/ajax_xmlfile.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:41	56614/56614	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:40%20GMT	https://www.w3schools.com/xml/ajax_php.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/ajax_php.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:43	56400/56400	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:41%20GMT	https://www.w3schools.com/xml/ajax_asp.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/ajax_asp.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:45	54957/54957	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:44%20GMT	https://www.w3schools.com/xml/ajax_database.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/ajax_database.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:49	55763/55763	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:48%20GMT	https://www.w3schools.com/xml/ajax_applications.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/ajax_applications.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:50	53635/53635	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:48%20GMT	https://www.w3schools.com/xml/ajax_examples.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/ajax_examples.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:53	59753/59753	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:53%20GMT	https://www.w3schools.com/xml/dom_nodes.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/dom_nodes.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:55	60201/60201	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:55%20GMT	https://www.w3schools.com/xml/dom_nodes_access.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/dom_nodes_access.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:35:58	58191/58191	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:35:57%20GMT	https://www.w3schools.com/xml/dom_nodes_info.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/dom_nodes_info.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:00	59463/59463	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:00%20GMT	https://www.w3schools.com/xml/dom_nodes_nodelist.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/dom_nodes_nodelist.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:03	57209/57209	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:02%20GMT	https://www.w3schools.com/xml/dom_nodes_traverse.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/dom_nodes_traverse.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:05	58951/58951	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:04%20GMT	https://www.w3schools.com/xml/dom_nodes_navigate.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/dom_nodes_navigate.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:08	58919/58919	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:07%20GMT	https://www.w3schools.com/xml/dom_nodes_get.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/dom_nodes_get.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:10	58802/58802	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:10%20GMT	https://www.w3schools.com/xml/dom_nodes_set.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/dom_nodes_set.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:13	61268/61268	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:12%20GMT	https://www.w3schools.com/xml/dom_nodes_remove.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/dom_nodes_remove.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:15	58148/58148	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:14%20GMT	https://www.w3schools.com/xml/dom_nodes_replace.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/dom_nodes_replace.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:17	61429/61429	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:17%20GMT	https://www.w3schools.com/xml/dom_nodes_create.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/dom_nodes_create.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:19	59580/59580	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:19%20GMT	https://www.w3schools.com/xml/dom_nodes_add.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/dom_nodes_add.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:21	55274/55274	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:20%20GMT	https://www.w3schools.com/xml/dom_nodes_clone.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/dom_nodes_clone.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:23	63189/63189	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:23%20GMT	https://www.w3schools.com/xml/dom_examples.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/dom_examples.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:26	54752/54752	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:26%20GMT	https://www.w3schools.com/xml/xpath_nodes.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xpath_nodes.html	(from https://www.w3schools.com/xml/schema_intro.asp)
